filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
eu_calib_7cm.Spe,152EU,121.7817,498785.75632214616,3068.981072169035,0.2853,0.0016,0.03388286660125903,0.0008882266559311591,55317289.39533662,1523507.675720766,22541.682720186072,620.8262737248435,20.1807489976187,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,244.6974,80193.21642703838,400.4709095481728,0.0755,0.0004,0.02095962372975508,0.00043812601890425777,54329532.1178175,1217789.520793619,22139.17364214242,496.2467484896573,1.9579363569020352,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,251.633,610.0115037067274,111.1683640036336,0.00067,1.9e-05,0.020428381191363015,0.0004016379426737259,47781308.07627653,9071075.420912823,19470.78568715425,3696.444751798216,1.9579363569020352,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,271.08,852.7712852430917,88.14126391345087,0.0007149999999999999,1.9e-05,0.01906205280027452,0.00031994146683182067,67078852.39921771,7601992.957545741,27334.495680202817,3097.7966412166834,0.9308529670392821,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,295.9387,4257.908245670121,91.64350983597187,0.0044,4e-05,0.017542104459776057,0.00025822054711578,59141276.61864452,1867803.352018813,24099.94972234903,761.1260603173647,0.8991307961664936,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,324.83,641.6617778368309,61.143842803313774,0.000681,1.9e-05,0.016039563897263766,0.00022853269366526625,62978928.58883986,6788892.152972312,25663.785081026836,2766.459720037617,0.9152292527695846,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,329.41,1054.8797632283765,74.30171089712127,0.001213,2.3999999999999997e-05,0.015823988681627047,0.00022620686226142896,58918945.05034664,4752044.54568087,24009.35006126595,1936.448470122604,0.9152292527695846,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,344.2785,213989.6218842344,660.2794052124174,0.2659,0.002,0.015162258605083473,0.00022094409795165283,56903534.12753551,957453.7128611751,23188.074216599634,390.1604371887429,2.1882051979059387,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,367.7891,7079.891470212768,240.2304671832237,0.00859,6e-05,0.014226419760691908,0.00021618632222957467,62110722.82754292,2462824.2813182953,25309.99300225873,1003.595876657822,5.341239763974122,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,411.1165,14660.73341432536,127.67428081493249,0.02237,0.00013,0.012792670907225948,0.00020892004065202545,54923379.32085745,1157997.680186106,22381.165167423573,471.8816952673618,0.9529612196661741,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,416.02,573.3046133105723,63.42129066220579,0.001088,1.9e-05,0.012649838201636766,0.0002079295137151181,44658109.69774041,5388127.974741116,18198.088711385662,2195.6511714511475,0.9529612196661741,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,443.9606,17631.235266790198,3546.433299759881,0.02827,0.00014000000000000001,0.011897923002184696,0.00020138567883759453,56197182.68482291,11355031.494361114,22900.237442878122,4627.152198191163,1.0463168735552943,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,444.01,879.8116562860617,3562.673346269572,0.00298,0.00010999999999999999,0.01189667982412414,0.00020137281323353605,26605807.196195167,107745618.84879728,10841.812223388413,43906.120150284136,1.0463168735552943,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,488.6792,2192.2721939305484,74.8684838707843,0.00414,3e-05,0.010879000348170945,0.00018833709242006952,52183584.71962091,2318889.2863881933,21264.704449723275,944.9426594898913,1.0460242531913708,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,503.467,728.6894768012085,55.50390344587928,0.0015240000000000002,2e-05,0.010582909666862941,0.00018354823340060094,48437442.84681968,4235756.348159811,19738.15926928267,1726.0620815647153,0.8678694457241994,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,563.986,2397.549621690587,88.71120764835395,0.00494,5e-05,0.009533904787477425,0.0001628686839683215,54575611.53738523,2548410.2793271425,22239.45050423196,1038.4719964658282,1.0615320311765553,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,566.438,642.9104427904781,77.39122910686659,0.0013100000000000002,3e-05,0.009496071589252017,0.00016201835000484552,55406915.041906275,7194677.470089536,22578.204988551865,2931.8164099794362,1.0615320311765553,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,586.2648,2043.761798180626,150.4844540336241,0.00455,4e-05,0.009201388105550393,0.00015516343463175796,52335249.260470055,4144899.5922818505,21326.507441104342,1689.0381386641607,4.259168170211499,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,656.489,778.3474891387904,83.34497123722169,0.001441,2.2000000000000003e-05,0.00829511597350942,0.00013187139834652833,69809712.81896503,8031632.32991562,28447.315737149565,3272.873810071565,1.5246422007379083,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,674.64,629.2674619346708,59.700196939289725,0.00169,3e-05,0.008090047334353657,0.0001262621262621983,49343082.23192374,5209994.65677289,20107.205473481554,2123.062207323916,1.3023425810277829,09/13/2018 08:39:08,2289.0,2454.0
