name,compound,areal_density,mu_E,sig_E
water,H2O,800.0,55.44626133333333,2.9367567409822843
salt,RbCl,9.0,50.66965666666667,0.6908144580533586
metal,Brass,350.0,49.16086666666667,1.2099973480228055
