compound,thickness,areal_density,name
Ti,0.01,,Ti01
Pd,0.025,,Pd01
Cu,0.01,,Cu01
Ti,0.01,,Ti02
Pd,0.025,,Pd02
Cu,0.01,,Cu02
Ti,0.01,,Ti03
Pd,0.025,,Pd03
Cu,0.01,,Cu03
Ti,0.01,,Ti04
Pd,0.025,,Pd04
Cu,0.01,,Cu04
Ti,0.01,,Ti05
Pd,0.025,,Pd05
Cu,0.01,,Cu05
