name,energy,flux
Ti01,47.95,6.666666666666667e-05
Ti01,48.05,0.0001
Ti01,48.150000000000006,0.00023333333333333333
Ti01,48.25,0.0006666666666666666
Ti01,48.35000000000001,0.0006
Ti01,48.45,0.0012666666666666666
Ti01,48.55,0.0023333333333333335
Ti01,48.650000000000006,0.0034666666666666665
Ti01,48.75,0.005633333333333333
Ti01,48.85000000000001,0.008033333333333333
Ti01,48.95,0.0111
Ti01,49.05,0.0164
Ti01,49.150000000000006,0.0212
Ti01,49.25,0.0302
Ti01,49.35000000000001,0.03623333333333333
Ti01,49.45,0.0462
Ti01,49.55,0.054733333333333335
Ti01,49.650000000000006,0.063
Ti01,49.75,0.0676
Ti01,49.85000000000001,0.07536666666666667
Ti01,49.95,0.07473333333333333
Ti01,50.05,0.07523333333333333
Ti01,50.150000000000006,0.07166666666666667
Ti01,50.25,0.06586666666666667
Ti01,50.35000000000001,0.060066666666666664
Ti01,50.45,0.0476
Ti01,50.55,0.04186666666666667
Ti01,50.650000000000006,0.03203333333333333
Ti01,50.75,0.026166666666666668
Ti01,50.85000000000001,0.019466666666666667
Ti01,50.95,0.0138
Ti01,51.05,0.0093
Ti01,51.150000000000006,0.0071333333333333335
Ti01,51.25,0.004533333333333334
Ti01,51.35000000000001,0.0028333333333333335
Ti01,51.45,0.0013666666666666666
Ti01,51.55,0.0009
Ti01,51.650000000000006,0.0005666666666666667
Ti01,51.75,0.0002
Ti01,51.85000000000001,0.00016666666666666666
Ti01,51.95,0.0
Ti01,52.05,3.3333333333333335e-05
Ti01,52.150000000000006,3.3333333333333335e-05
Pd01,45.45,2e-05
Pd01,45.55,2e-05
Pd01,45.650000000000006,6e-05
Pd01,45.75,0.00014
Pd01,45.85000000000001,0.00034
Pd01,45.95,0.00024
Pd01,46.05,0.00062
Pd01,46.150000000000006,0.00114
Pd01,46.25,0.0014
Pd01,46.35000000000001,0.00228
Pd01,46.45,0.00328
Pd01,46.55,0.00406
Pd01,46.650000000000006,0.00616
Pd01,46.75,0.00822
Pd01,46.85000000000001,0.01092
Pd01,46.95,0.01302
Pd01,47.05,0.0155
Pd01,47.150000000000006,0.01832
Pd01,47.25,0.02158
Pd01,47.35000000000001,0.02374
Pd01,47.45,0.02698
Pd01,47.55,0.02812
Pd01,47.650000000000006,0.02838
Pd01,47.75,0.0299
Pd01,47.85000000000001,0.03164
Pd01,47.95,0.03258
Pd01,48.05,0.03372
Pd01,48.150000000000006,0.03324
Pd01,48.25,0.03174
Pd01,48.35000000000001,0.03334
Pd01,48.45,0.0339
Pd01,48.55,0.03422
Pd01,48.650000000000006,0.0347
Pd01,48.75,0.03348
Pd01,48.85000000000001,0.03194
Pd01,48.95,0.03414
Pd01,49.05,0.03358
Pd01,49.150000000000006,0.03312
Pd01,49.25,0.03344
Pd01,49.35000000000001,0.03126
Pd01,49.45,0.02928
Pd01,49.55,0.03002
Pd01,49.650000000000006,0.0275
Pd01,49.75,0.02552
Pd01,49.85000000000001,0.02312
Pd01,49.95,0.01962
Pd01,50.05,0.01554
Pd01,50.150000000000006,0.01424
Pd01,50.25,0.0115
Pd01,50.35000000000001,0.00936
Pd01,50.45,0.0057
Pd01,50.55,0.00448
Pd01,50.650000000000006,0.0034
Pd01,50.75,0.00238
Pd01,50.85000000000001,0.00174
Pd01,50.95,0.00094
Pd01,51.05,0.00052
Pd01,51.150000000000006,0.00032
Pd01,51.25,0.00016
Pd01,51.35000000000001,0.00012
Pd01,51.45,2e-05
Pd01,51.55,0.0
Pd01,51.650000000000006,4e-05
Cu01,44.55,3.3333333333333335e-05
Cu01,44.650000000000006,3.3333333333333335e-05
Cu01,44.75,0.0001
Cu01,44.85000000000001,0.00016666666666666666
Cu01,44.95,0.0005666666666666667
Cu01,45.05,0.0005
Cu01,45.150000000000006,0.0007333333333333333
Cu01,45.25,0.002
Cu01,45.35000000000001,0.0023666666666666667
Cu01,45.45,0.003933333333333333
Cu01,45.55,0.0052
Cu01,45.650000000000006,0.006866666666666667
Cu01,45.75,0.0108
Cu01,45.85000000000001,0.014466666666666666
Cu01,45.95,0.0191
Cu01,46.05,0.022233333333333334
Cu01,46.150000000000006,0.0292
Cu01,46.25,0.034866666666666664
Cu01,46.35000000000001,0.04203333333333333
Cu01,46.45,0.0462
Cu01,46.55,0.05173333333333333
Cu01,46.650000000000006,0.0561
Cu01,46.75,0.05946666666666667
Cu01,46.85000000000001,0.06046666666666667
Cu01,46.95,0.061233333333333334
Cu01,47.05,0.06233333333333333
Cu01,47.150000000000006,0.060833333333333336
Cu01,47.25,0.0548
Cu01,47.35000000000001,0.05146666666666667
Cu01,47.45,0.04756666666666667
Cu01,47.55,0.042633333333333336
Cu01,47.650000000000006,0.03376666666666667
Cu01,47.75,0.0287
Cu01,47.85000000000001,0.0219
Cu01,47.95,0.0196
Cu01,48.05,0.014433333333333333
Cu01,48.150000000000006,0.010166666666666666
Cu01,48.25,0.006466666666666667
Cu01,48.35000000000001,0.005533333333333334
Cu01,48.45,0.0037333333333333333
Cu01,48.55,0.0025666666666666667
Cu01,48.650000000000006,0.0013666666666666666
Cu01,48.75,0.0006333333333333333
Cu01,48.85000000000001,0.0006
Cu01,48.95,0.00023333333333333333
Cu01,49.05,0.00016666666666666666
Cu01,49.150000000000006,3.3333333333333335e-05
Cu01,49.25,0.0
Cu01,49.35000000000001,6.666666666666667e-05
Ti02,44.05,3.3333333333333335e-05
Ti02,44.150000000000006,3.3333333333333335e-05
Ti02,44.25,0.0001
Ti02,44.35000000000001,0.00023333333333333333
