name,energy,flux
Ti01,47.85000000000001,3.3333333333333335e-05
Ti01,47.95,6.666666666666667e-05
Ti01,48.05,6.666666666666667e-05
Ti01,48.150000000000006,0.0002
Ti01,48.25,0.0005
Ti01,48.35000000000001,0.0008
Ti01,48.45,0.0010666666666666667
Ti01,48.55,0.0021
Ti01,48.650000000000006,0.003766666666666667
Ti01,48.75,0.005233333333333334
Ti01,48.85000000000001,0.0085
Ti01,48.95,0.011433333333333334
Ti01,49.05,0.017133333333333334
Ti01,49.150000000000006,0.0221
Ti01,49.25,0.030133333333333335
Ti01,49.35000000000001,0.03916666666666667
Ti01,49.45,0.04526666666666666
Ti01,49.55,0.05583333333333333
Ti01,49.650000000000006,0.0607
Ti01,49.75,0.06866666666666667
Ti01,49.85000000000001,0.0745
Ti01,49.95,0.07403333333333334
Ti01,50.05,0.07553333333333333
Ti01,50.150000000000006,0.07003333333333334
Ti01,50.25,0.06566666666666666
Ti01,50.35000000000001,0.05826666666666667
Ti01,50.45,0.0498
Ti01,50.55,0.041166666666666664
Ti01,50.650000000000006,0.032733333333333337
Ti01,50.75,0.025466666666666665
Ti01,50.85000000000001,0.019433333333333334
Ti01,50.95,0.0134
Ti01,51.05,0.009766666666666667
Ti01,51.150000000000006,0.006533333333333334
Ti01,51.25,0.004433333333333333
Ti01,51.35000000000001,0.0026666666666666666
Ti01,51.45,0.0016
Ti01,51.55,0.0009666666666666667
Ti01,51.650000000000006,0.0007
Ti01,51.75,0.0002
Ti01,51.85000000000001,0.0003
Ti01,51.95,3.3333333333333335e-05
Mo01,45.55,2e-05
Mo01,45.650000000000006,4e-05
Mo01,45.75,4e-05
Mo01,45.85000000000001,8e-05
Mo01,45.95,0.00022
Mo01,46.05,0.00032
Mo01,46.150000000000006,0.0004
Mo01,46.25,0.0009
Mo01,46.35000000000001,0.00148
Mo01,46.45,0.00194
Mo01,46.55,0.00292
Mo01,46.650000000000006,0.00398
Mo01,46.75,0.006
Mo01,46.85000000000001,0.00826
Mo01,46.95,0.01006
Mo01,47.05,0.01238
Mo01,47.150000000000006,0.01534
Mo01,47.25,0.01808
Mo01,47.35000000000001,0.0212
Mo01,47.45,0.02442
Mo01,47.55,0.02652
Mo01,47.650000000000006,0.02892
Mo01,47.75,0.02948
Mo01,47.85000000000001,0.03168
Mo01,47.95,0.03328
Mo01,48.05,0.03364
Mo01,48.150000000000006,0.03506
Mo01,48.25,0.03458
Mo01,48.35000000000001,0.03474
Mo01,48.45,0.0355
Mo01,48.55,0.03528
Mo01,48.650000000000006,0.03578
Mo01,48.75,0.03604
Mo01,48.85000000000001,0.035
Mo01,48.95,0.03576
Mo01,49.05,0.03522
Mo01,49.150000000000006,0.03484
Mo01,49.25,0.03418
Mo01,49.35000000000001,0.03382
Mo01,49.45,0.03192
Mo01,49.55,0.03028
Mo01,49.650000000000006,0.02822
Mo01,49.75,0.02602
Mo01,49.85000000000001,0.02402
Mo01,49.95,0.01942
Mo01,50.05,0.01796
Mo01,50.150000000000006,0.01386
Mo01,50.25,0.01138
Mo01,50.35000000000001,0.00874
Mo01,50.45,0.00648
Mo01,50.55,0.0049
Mo01,50.650000000000006,0.00324
Mo01,50.75,0.00226
Mo01,50.85000000000001,0.00166
Mo01,50.95,0.00094
Mo01,51.05,0.00044
Mo01,51.150000000000006,0.0004
Mo01,51.25,0.0002
Mo01,51.35000000000001,0.0002
Mo01,51.45,6e-05
Cu01,44.650000000000006,3.3333333333333335e-05
Cu01,44.75,3.3333333333333335e-05
Cu01,44.85000000000001,0.0001
Cu01,44.95,0.00013333333333333334
Cu01,45.05,0.0003
Cu01,45.150000000000006,0.0005
Cu01,45.25,0.0008
Cu01,45.35000000000001,0.0010666666666666667
Cu01,45.45,0.0023333333333333335
Cu01,45.55,0.0033333333333333335
Cu01,45.650000000000006,0.0046
Cu01,45.75,0.0068
Cu01,45.85000000000001,0.009433333333333334
Cu01,45.95,0.014533333333333334
Cu01,46.05,0.0166
Cu01,46.150000000000006,0.0223
Cu01,46.25,0.027733333333333332
Cu01,46.35000000000001,0.032966666666666665
Cu01,46.45,0.039466666666666664
Cu01,46.55,0.04463333333333333
Cu01,46.650000000000006,0.04973333333333333
Cu01,46.75,0.055433333333333334
Cu01,46.85000000000001,0.05823333333333333
Cu01,46.95,0.0615
Cu01,47.05,0.061066666666666665
Cu01,47.150000000000006,0.0613
Cu01,47.25,0.05946666666666667
Cu01,47.35000000000001,0.057633333333333335
Cu01,47.45,0.0533
Cu01,47.55,0.04806666666666667
Cu01,47.650000000000006,0.04303333333333333
Cu01,47.75,0.037066666666666664
Cu01,47.85000000000001,0.0305
Cu01,47.95,0.024433333333333335
Cu01,48.05,0.019833333333333335
Cu01,48.150000000000006,0.0156
Cu01,48.25,0.011433333333333334
Cu01,48.35000000000001,0.0082
Cu01,48.45,0.0057
Cu01,48.55,0.004
Cu01,48.650000000000006,0.0026666666666666666
Cu01,48.75,0.0017666666666666666
Cu01,48.85000000000001,0.0008666666666666666
Cu01,48.95,0.0006333333333333333
Cu01,49.05,0.0004
Cu01,49.150000000000006,0.0002
Cu01,49.25,0.00023333333333333333
Ti02,44.150000000000006,3.3333333333333335e-05
Ti02,44.25,3.3333333333333335e-05
Ti02,44.35000000000001,0.0001
Ti02,44.45,0.0002
Ti02,44.55,0.0003333333333333333
Ti02,44.650000000000006,0.0005333333333333334
Ti02,44.75,0.0009666666666666667
Ti02,44.85000000000001,0.0014333333333333333
Ti02,44.95,0.002766666666666667
Ti02,45.05,0.0038
Ti02,45.150000000000006,0.0057
