compound,thickness,areal_density,name
Ti,0.01,,Ti01
Mo,0.025,,Mo01
Cu,0.01,,Cu01
Ti,0.01,,Ti02
Mo,0.025,,Mo02
Cu,0.01,,Cu02
Ti,0.01,,Ti03
Mo,0.025,,Mo03
Cu,0.01,,Cu03
Ti,0.01,,Ti04
Mo,0.025,,Mo04
Cu,0.01,,Cu04
Ti,0.01,,Ti05
Mo,0.025,,Mo05
Cu,0.01,,Cu05
Ti,0.01,,Ti06
Mo,0.025,,Mo06
Cu,0.01,,Cu06
Ti,0.01,,Ti07
Mo,0.025,,Mo07
Cu,0.01,,Cu07
