compound,thickness,areal_density,name
Ti,0.01,,Ti01
Nb,0.025,,Nb01
Ni,0.025,,Ni01
Cu,0.01,,Cu01
Ti,0.01,,Ti02
Nb,0.025,,Nb02
Ni,0.025,,Ni02
Cu,0.01,,Cu02
Ti,0.01,,Ti03
Nb,0.025,,Nb03
Ni,0.025,,Ni03
Cu,0.01,,Cu03
Ti,0.01,,Ti04
Nb,0.025,,Nb04
Ni,0.025,,Ni04
Cu,0.01,,Cu04
Ti,0.01,,Ti05
Nb,0.025,,Nb05
Ni,0.025,,Ni05
Cu,0.01,,Cu05
